time,some 10,some 60,some 300
2024-11-15 13:01:22,0,0.23,0.27
2024-11-15 13:01:20,0,0.24,0.28
2024-11-15 13:01:18,0,0.25,0.28
2024-11-15 13:01:16,0,0.26,0.28
2024-11-15 13:01:14,0,0.2745781,0.28
2024-11-15 13:01:12,0,0.28,0.28
2024-11-15 13:01:10,0,0.28,0.28
2024-11-15 13:01:08,0,0.3,0.28
2024-11-15 13:01:06,0,0.31,0.28
2024-11-15 13:01:04,0,0.32,0.28
2024-11-15 13:01:02,0,0.33,0.3
2024-11-15 13:01:00,0.007289,0.3518671,0.3
2024-11-15 13:00:58,0.01,0.36,0.3
2024-11-15 13:00:56,0.01,0.37,0.3
2024-11-15 13:00:54,0.0172891,0.3845781,0.3072891
2024-11-15 13:00:52,0.02,0.39,0.31
2024-11-15 13:00:50,0.03,0.41,0.31
2024-11-15 13:00:48,0.03,0.42,0.31
2024-11-15 13:00:46,0.0445781,0.4418671,0.317289
2024-11-15 13:00:44,0.05,0.45,0.32
2024-11-15 13:00:42,0.06,0.47,0.32
2024-11-15 13:00:40,0.08,0.48,0.32
2024-11-15 13:00:38,0.1,0.5,0.33
2024-11-15 13:00:36,0.1364453,0.5291562,0.33
2024-11-15 13:00:34,0.15,0.54,0.33
2024-11-15 13:00:32,0.18,0.56,0.33
2024-11-15 13:00:30,0.22,0.56,0.34
2024-11-15 13:00:28,0.28,0.59,0.34
2024-11-15 13:00:26,0.34,0.61,0.34
2024-11-15 13:00:24,0.4639133,0.6464451,0.347289
2024-11-15 13:00:22,0.51,0.66,0.35
2024-11-15 13:00:20,0.62,0.68,0.35
2024-11-15 13:00:18,0.76,0.7,0.35
2024-11-15 13:00:16,0.93,0.73,0.35
2024-11-15 13:00:14,1.13,0.75,0.36
2024-11-15 13:00:12,1.39,0.78,0.36
2024-11-15 13:00:10,1.7,0.81,0.36
2024-11-15 13:00:08,2.144637,0.8245783,0.36
2024-11-15 13:00:06,2.31,0.83,0.36
2024-11-15 13:00:04,1.5,0.65,0.32
2024-11-15 13:00:02,1.39,0.61,0.31
2024-11-15 13:00:00,1.26,0.56,0.3
2024-11-15 12:59:58,1.1506626,0.5089759,0.2854217
2024-11-15 12:59:56,1.11,0.49,0.28
2024-11-15 12:59:54,1.13,0.48,0.28
2024-11-15 12:59:52,1.17,0.46,0.27
2024-11-15 12:59:50,1.0387956,0.4089761,0.2554217
2024-11-15 12:59:48,0.99,0.39,0.25
2024-11-15 12:59:46,0.99,0.37,0.25
2024-11-15 12:59:44,0.9827108,0.3335542,0.2427108
2024-11-15 12:59:42,0.98,0.32,0.24
2024-11-15 12:59:40,0.98,0.3,0.23
2024-11-15 12:59:38,0.53,0.21,0.21
2024-11-15 12:59:36,0.3696373,0.1662647,0.2027108
2024-11-15 12:59:34,0.31,0.15,0.2
2024-11-15 12:59:32,0.16,0.12,0.2
2024-11-15 12:59:30,0.19,0.13,0.2
2024-11-15 12:59:28,0.255603,0.1372892,0.2
2024-11-15 12:59:26,0.28,0.14,0.2
2024-11-15 12:59:24,0.35,0.14,0.2
2024-11-15 12:59:22,0.21,0.11,0.2
2024-11-15 12:59:20,0.093373,0.0954216,0.1927108
2024-11-15 12:59:18,0.05,0.09,0.19
2024-11-15 12:59:16,0.06,0.09,0.19
2024-11-15 12:59:14,0.08,0.09,0.19
2024-11-15 12:59:12,0.1091563,0.0972891,0.1972891
2024-11-15 12:59:10,0.12,0.1,0.2
2024-11-15 12:59:08,0.14,0.11,0.2
2024-11-15 12:59:06,0.18,0.11,0.2
2024-11-15 12:59:04,0,0.08,0.19
2024-11-15 12:59:02,0,0.0872891,0.1972891
2024-11-15 12:59:00,0,0.09,0.2
2024-11-15 12:58:58,0,0.09,0.2
2024-11-15 12:58:56,0,0.09,0.2
2024-11-15 12:58:54,0,0.0972892,0.2
2024-11-15 12:58:52,0,0.1,0.2
2024-11-15 12:58:50,0,0.1,0.2
2024-11-15 12:58:48,0,0.11,0.21
2024-11-15 12:58:46,0.0072892,0.1172892,0.21
2024-11-15 12:58:44,0.01,0.12,0.21
2024-11-15 12:58:42,0.01,0.12,0.21
2024-11-15 12:58:40,0.0172892,0.1272892,0.21
2024-11-15 12:58:38,0.02,0.13,0.21
2024-11-15 12:58:36,0.03,0.13,0.22
2024-11-15 12:58:34,0.04,0.14,0.22
2024-11-15 12:58:32,0.0545783,0.1472891,0.22
2024-11-15 12:58:30,0.06,0.15,0.22
2024-11-15 12:58:28,0.07,0.16,0.22
2024-11-15 12:58:26,0.09,0.16,0.23
2024-11-15 12:58:24,0.11,0.17,0.23
2024-11-15 12:58:22,0.1537363,0.1772894,0.23
2024-11-15 12:58:20,0.17,0.18,0.23
2024-11-15 12:58:18,0.21,0.19,0.23
2024-11-15 12:58:16,0.26,0.19,0.24
2024-11-15 12:58:14,0.32,0.2,0.24
2024-11-15 12:58:12,0.39,0.21,0.24
2024-11-15 12:58:10,0.48,0.21,0.24
2024-11-15 12:58:08,0.36,0.19,0.24
2024-11-15 12:58:06,0.491206,0.1972892,0.24
2024-11-15 12:58:04,0.54,0.2,0.24
2024-11-15 12:58:02,0.44,0.17,0.23
2024-11-15 12:58:00,0.54,0.18,0.24
2024-11-15 12:57:58,0.44,0.15,0.23
2024-11-15 12:57:56,0.1192732,0.0843968,0.2154215
2024-11-15 12:57:54,0,0.06,0.21
2024-11-15 12:57:52,0,0.06,0.22
2024-11-15 12:57:50,0,0.07,0.22
2024-11-15 12:57:48,0,0.07,0.22
2024-11-15 12:57:46,0,0.07,0.22
2024-11-15 12:57:44,0.0072893,0.0772893,0.2272893
2024-11-15 12:57:42,0.01,0.08,0.23
2024-11-15 12:57:40,0.01,0.08,0.23
2024-11-15 12:57:38,0.02,0.08,0.23
2024-11-15 12:57:36,0.02,0.09,0.23
2024-11-15 12:57:34,0.03,0.09,0.23
2024-11-15 12:57:32,0.0372891,0.0972891,0.2372891
2024-11-15 12:57:30,0.04,0.1,0.24
2024-11-15 12:57:28,0.05,0.1,0.24
