time,free,used,cached,buffers
2024-11-15 13:01:22,23852.67,1705.129,6408.832,131.85156
2024-11-15 13:01:21,23852.94,1704.859,6408.832,131.85156
2024-11-15 13:01:20,23852.69,1705.105,6408.832,131.85156
2024-11-15 13:01:19,22993.16,2561.812,6411.652,131.85156
2024-11-15 13:01:18,22992.21,2562.766,6411.652,131.85156
2024-11-15 13:01:17,22993.54,2561.434,6411.652,131.85156
2024-11-15 13:01:16,22993.84,2561.141,6411.652,131.85156
2024-11-15 13:01:15,22993.55,2561.43,6411.648,131.85156
2024-11-15 13:01:14,22993.84,2561.137,6411.652,131.84766
2024-11-15 13:01:13,22993.34,2561.645,6411.652,131.84766
2024-11-15 13:01:12,22993.23,2561.645,6411.766,131.84375
2024-11-15 13:01:11,22993.5,2561.375,6411.766,131.84375
2024-11-15 13:01:10,22993.5,2561.367,6411.766,131.84375
2024-11-15 13:01:09,22993.23,2561.645,6411.766,131.84375
2024-11-15 13:01:08,22993.5,2561.5,6411.641,131.84375
2024-11-15 13:01:07,22993.48,2561.52,6411.637,131.84375
2024-11-15 13:01:06,22991.97,2563.027,6411.637,131.84375
2024-11-15 13:01:05,22992.51,2562.488,6411.637,131.84375
2024-11-15 13:01:04,22992,2563.125,6411.512,131.83984
2024-11-15 13:01:03,22992.03,2563.289,6411.324,131.83984
2024-11-15 13:01:02,22991.51,2563.652,6411.484,131.83203
2024-11-15 13:01:01,22992.02,2563.145,6411.484,131.83203
2024-11-15 13:01:00,22991.75,2563.543,6411.355,131.83203
2024-11-15 13:00:59,22992.27,2563.031,6411.352,131.83203
2024-11-15 13:00:58,22992.27,2563.031,6411.352,131.83203
2024-11-15 13:00:57,22992.26,2563.039,6411.352,131.83203
2024-11-15 13:00:56,22989.04,2566.262,6411.352,131.83203
2024-11-15 13:00:55,22989.53,2565.91,6411.211,131.83203
2024-11-15 13:00:54,22989.53,2566.035,6411.094,131.82422
2024-11-15 13:00:53,22989.78,2565.781,6411.094,131.82422
2024-11-15 13:00:52,22989.56,2565.953,6411.148,131.82031
2024-11-15 13:00:51,22989.54,2565.969,6411.148,131.82031
2024-11-15 13:00:50,22989.55,2565.961,6411.148,131.82031
2024-11-15 13:00:49,22989.28,2566.23,6411.148,131.82031
2024-11-15 13:00:48,22989.77,2565.875,6411.02,131.82031
2024-11-15 13:00:47,22990.01,2565.629,6411.02,131.82031
2024-11-15 13:00:46,22989.77,2565.867,6411.02,131.82031
2024-11-15 13:00:45,22990.26,2565.387,6411.016,131.82031
2024-11-15 13:00:44,22990.04,2565.746,6410.875,131.81641
2024-11-15 13:00:43,22990.36,2565.555,6410.75,131.81641
2024-11-15 13:00:42,22990.11,2565.637,6410.914,131.81641
2024-11-15 13:00:41,22989.84,2566.039,6410.789,131.81641
2024-11-15 13:00:40,22989.3,2566.574,6410.785,131.81641
2024-11-15 13:00:39,22988.14,2567.742,6410.789,131.8125
2024-11-15 13:00:38,22988.36,2567.52,6410.789,131.8125
2024-11-15 13:00:37,22988.37,2567.641,6410.66,131.8125
2024-11-15 13:00:36,22988.38,2567.625,6410.66,131.8125
2024-11-15 13:00:35,22988.85,2567.16,6410.656,131.8125
2024-11-15 13:00:34,22988.61,2567.527,6410.531,131.80859
2024-11-15 13:00:33,22988.88,2567.391,6410.406,131.80859
