time,load1,load5,load15
2024-11-15 13:01:20,0.5260242,0.489006,0.33
2024-11-15 13:01:15,0.53,0.49,0.33
2024-11-15 13:01:10,0.58,0.5,0.33
2024-11-15 13:01:05,0.63,0.51,0.34
2024-11-15 13:01:00,0.69,0.51,0.34
2024-11-15 13:00:55,0.75,0.52,0.34
2024-11-15 13:00:50,0.55,0.48,0.33
2024-11-15 13:00:45,0.51,0.47,0.32
2024-11-15 13:00:40,0.51,0.47,0.32
2024-11-15 13:00:35,0.47,0.46,0.32
2024-11-15 13:00:30,0.42,0.45,0.31
2024-11-15 13:00:25,0.37,0.44,0.31
2024-11-15 13:00:20,0.4,0.45,0.31
2024-11-15 13:00:15,0.44,0.46,0.31
2024-11-15 13:00:10,0.4670182,0.4690061,0.31
2024-11-15 13:00:05,0.47,0.47,0.31
2024-11-15 13:00:00,0.52,0.48,0.32
2024-11-15 12:59:55,0.56,0.48,0.32
2024-11-15 12:59:50,0.52,0.47,0.31
2024-11-15 12:59:45,0.57,0.48,0.32
2024-11-15 12:59:40,0.62,0.49,0.32
2024-11-15 12:59:35,0.73,0.51,0.32
2024-11-15 12:59:30,0.71,0.5,0.32
2024-11-15 12:59:25,0.77,0.51,0.32
2024-11-15 12:59:20,0.84,0.52,0.32
2024-11-15 12:59:15,0.91,0.53,0.32
2024-11-15 12:59:10,0.9,0.52,0.32
2024-11-15 12:59:05,0.9720484,0.529006,0.32
2024-11-15 12:59:00,0.98,0.53,0.32
2024-11-15 12:58:55,0.98,0.52,0.32
2024-11-15 12:58:50,0.78,0.47,0.3
2024-11-15 12:58:45,0.67,0.44,0.29
2024-11-15 12:58:40,0.73,0.45,0.29
2024-11-15 12:58:35,0.62,0.42,0.28
2024-11-15 12:58:30,0.58,0.41,0.28
2024-11-15 12:58:25,0.6340363,0.419006,0.28
2024-11-15 12:58:20,0.64,0.42,0.28
2024-11-15 12:58:15,0.6,0.41,0.28
2024-11-15 12:58:10,0.57,0.4,0.27
2024-11-15 12:58:05,0.62,0.41,0.27
2024-11-15 12:58:00,0.64,0.4,0.27
2024-11-15 12:57:55,0.69,0.41,0.27
2024-11-15 12:57:50,0.58,0.38,0.26
2024-11-15 12:57:45,0.63,0.39,0.27
2024-11-15 12:57:40,0.68,0.4,0.27
2024-11-15 12:57:35,0.66,0.39,0.26
2024-11-15 12:57:30,0.71,0.39,0.26
2024-11-15 12:57:25,0.6109328,0.3719878,0.2509939
2024-11-15 12:57:20,0.6,0.37,0.25
2024-11-15 12:57:15,0.65,0.37,0.26
2024-11-15 12:57:10,0.71,0.38,0.26
2024-11-15 12:57:05,0.77,0.39,0.26
2024-11-15 12:57:00,0.67,0.36,0.25
2024-11-15 12:56:55,0.79,0.37,0.25
2024-11-15 12:56:50,0.77,0.36,0.25
2024-11-15 12:56:45,0.49,0.3,0.23
2024-11-15 12:56:40,0.53,0.31,0.23
2024-11-15 12:56:35,0.4,0.28,0.22
2024-11-15 12:56:30,0.44,0.28,0.22
2024-11-15 12:56:25,0.48,0.29,0.22
2024-11-15 12:56:20,0.5160239,0.29,0.22
2024-11-15 12:56:15,0.52,0.29,0.22
2024-11-15 12:56:10,0.56,0.3,0.22
2024-11-15 12:56:05,0.53,0.28,0.22
2024-11-15 12:56:00,0.57,0.29,0.22
2024-11-15 12:55:55,0.54,0.28,0.22
2024-11-15 12:55:50,0.32,0.23,0.2
2024-11-15 12:55:45,0.29,0.22,0.2
2024-11-15 12:55:40,0.23,0.21,0.19
2024-11-15 12:55:35,0.25,0.21,0.2
2024-11-15 12:55:30,0.18,0.2,0.19
2024-11-15 12:55:25,0.2,0.2,0.19
2024-11-15 12:55:20,0.22,0.2,0.19
2024-11-15 12:55:15,0.24,0.21,0.2
2024-11-15 12:55:10,0.26,0.21,0.2
2024-11-15 12:55:05,0.28,0.22,0.2
2024-11-15 12:55:00,0.3070181,0.22,0.2
2024-11-15 12:54:55,0.31,0.22,0.2
2024-11-15 12:54:50,0.33,0.22,0.2
2024-11-15 12:54:45,0.28,0.21,0.2
2024-11-15 12:54:40,0.21,0.2,0.19
2024-11-15 12:54:35,0.14,0.18,0.19
2024-11-15 12:54:30,0.16,0.19,0.19
2024-11-15 12:54:25,0.18,0.19,0.19
2024-11-15 12:54:20,0.2,0.2,0.19
2024-11-15 12:54:15,0.22,0.2,0.2
2024-11-15 12:54:10,0.15,0.19,0.19
2024-11-15 12:54:05,0.16,0.19,0.19
2024-11-15 12:54:00,0.0969581,0.180994,0.19
2024-11-15 12:53:55,0.09,0.18,0.19
2024-11-15 12:53:50,0.1,0.18,0.19
2024-11-15 12:53:45,0.11,0.18,0.19
2024-11-15 12:53:40,0.12,0.19,0.19
2024-11-15 12:53:35,0.14,0.19,0.2
2024-11-15 12:53:30,0.15,0.2,0.2
2024-11-15 12:53:25,0.16,0.2,0.2
2024-11-15 12:53:20,0.18,0.2,0.2
2024-11-15 12:53:15,0.19,0.21,0.2
2024-11-15 12:53:10,0.2080121,0.21,0.2
2024-11-15 12:53:05,0.21,0.21,0.2
2024-11-15 12:53:00,0.23,0.22,0.2
2024-11-15 12:52:55,0.18,0.21,0.2
2024-11-15 12:52:50,0.2,0.21,0.2
2024-11-15 12:52:45,0.22,0.21,0.2
2024-11-15 12:52:40,0.1569577,0.200994,0.2
2024-11-15 12:52:35,0.15,0.2,0.2
2024-11-15 12:52:30,0.16,0.2,0.2
2024-11-15 12:52:25,0.18,0.21,0.2
2024-11-15 12:52:20,0.11,0.2,0.2
2024-11-15 12:52:15,0.12,0.2,0.2
2024-11-15 12:52:10,0.14,0.2,0.2
2024-11-15 12:52:05,0.15,0.21,0.2
2024-11-15 12:52:00,0.1590061,0.21,0.2090061
2024-11-15 12:51:55,0.16,0.21,0.21
2024-11-15 12:51:50,0.18,0.22,0.21
2024-11-15 12:51:45,0.19,0.22,0.21
2024-11-15 12:51:40,0.21,0.22,0.21
2024-11-15 12:51:35,0.14,0.21,0.21
2024-11-15 12:51:30,0.16,0.22,0.21
2024-11-15 12:51:25,0.18,0.22,0.21
2024-11-15 12:51:20,0.2,0.23,0.21
2024-11-15 12:51:15,0.21,0.23,0.21
2024-11-15 12:51:10,0.1469575,0.2209939,0.21
2024-11-15 12:51:05,0.14,0.22,0.21
2024-11-15 12:51:00,0.07,0.2,0.2
2024-11-15 12:50:55,0.08,0.21,0.21
2024-11-15 12:50:50,0.09,0.22,0.21
2024-11-15 12:50:45,0.1,0.22,0.21
2024-11-15 12:50:40,0.11,0.22,0.21
2024-11-15 12:50:35,0.12,0.23,0.21
2024-11-15 12:50:30,0.129006,0.23,0.219006
2024-11-15 12:50:25,0.13,0.23,0.22
2024-11-15 12:50:20,0.05,0.22,0.21
2024-11-15 12:50:15,0.06,0.22,0.21
2024-11-15 12:50:10,0.06,0.23,0.21
2024-11-15 12:50:05,0.07,0.23,0.22
2024-11-15 12:50:00,0.07,0.23,0.22
2024-11-15 12:49:55,0.08,0.24,0.22
2024-11-15 12:49:50,0.09,0.25,0.22
2024-11-15 12:49:45,0.1,0.25,0.22
2024-11-15 12:49:40,0.11,0.26,0.22
2024-11-15 12:49:35,0.119006,0.26,0.229006
2024-11-15 12:49:30,0.12,0.26,0.23
2024-11-15 12:49:25,0.13,0.27,0.23
2024-11-15 12:49:20,0.14,0.27,0.23
2024-11-15 12:49:15,0.07,0.26,0.22
