time,minor,major
2024-11-15 13:01:22,223.8759,0
2024-11-15 13:01:21,445.9553,0
2024-11-15 13:01:20,649.9573,0
2024-11-15 13:01:19,400.5509,0
2024-11-15 13:01:18,383.8557,0
2024-11-15 13:01:17,281.6049,0
2024-11-15 13:01:16,225.8532,0
2024-11-15 13:01:15,224.3997,0
2024-11-15 13:01:14,226.8986,0
2024-11-15 13:01:13,296.0043,0
2024-11-15 13:01:12,340.6401,0
2024-11-15 13:01:11,258.6494,0
2024-11-15 13:01:10,275.7695,0
2024-11-15 13:01:09,244.4659,0
2024-11-15 13:01:08,310.7023,0
2024-11-15 13:01:07,354.2653,-0.3793709
2024-11-15 13:01:06,243.1531,-0.6206291
2024-11-15 13:01:05,241.5902,0
2024-11-15 13:01:04,237.5044,0
2024-11-15 13:01:03,238.4874,0
2024-11-15 13:01:02,298.6062,0
2024-11-15 13:01:01,339.5521,0
2024-11-15 13:01:00,237.5326,0
2024-11-15 13:00:59,238.4712,0
2024-11-15 13:00:58,270.9803,0
2024-11-15 13:00:57,284.5868,-0.3798812
2024-11-15 13:00:56,237.2214,-0.6201188
2024-11-15 13:00:55,239.0391,0
2024-11-15 13:00:54,834.2966,0
2024-11-15 13:00:53,1216.2238,0
2024-11-15 13:00:52,240.0022,0
2024-11-15 13:00:51,241.1288,0
2024-11-15 13:00:50,241.1144,0
2024-11-15 13:00:49,255.8377,0
2024-11-15 13:00:48,313.0567,0
2024-11-15 13:00:47,314.2369,-0.3793763
2024-11-15 13:00:46,242.1353,-0.6206237
2024-11-15 13:00:45,242.5075,0
2024-11-15 13:00:44,238.8873,0
2024-11-15 13:00:43,301.4943,0
2024-11-15 13:00:42,343.6317,0
2024-11-15 13:00:41,239.9639,0
2024-11-15 13:00:40,276.8108,0
2024-11-15 13:00:39,332.4406,0
2024-11-15 13:00:38,324.2724,0
2024-11-15 13:00:37,291.1386,-0.3795478
2024-11-15 13:00:36,240.8547,-0.6204522
2024-11-15 13:00:35,245.8991,0
2024-11-15 13:00:34,308.1725,0
2024-11-15 13:00:33,343.9296,0
2024-11-15 13:00:32,305.0928,0
2024-11-15 13:00:31,347.7113,0
2024-11-15 13:00:30,250.575,0
2024-11-15 13:00:29,254.4801,0
2024-11-15 13:00:28,282.146,0
2024-11-15 13:00:27,305.4154,-0.3793844
2024-11-15 13:00:26,284.8135,-0.6206156
2024-11-15 13:00:25,240.8656,0
2024-11-15 13:00:24,241.2856,0
2024-11-15 13:00:23,243.1212,0
2024-11-15 13:00:22,243.7988,0
2024-11-15 13:00:21,246.9299,0
2024-11-15 13:00:20,241.2453,0
2024-11-15 13:00:19,735.4748,0
2024-11-15 13:00:18,1089.9848,0
2024-11-15 13:00:17,1402.5864,-0.3794175
2024-11-15 13:00:16,2036.711,-0.6205825
2024-11-15 13:00:15,238.5948,0
2024-11-15 13:00:14,238.3213,0
2024-11-15 13:00:13,243.1944,0
2024-11-15 13:00:12,237.3745,0
2024-11-15 13:00:11,239.1356,0
2024-11-15 13:00:10,239.4814,0
2024-11-15 13:00:09,647.8231,0
2024-11-15 13:00:08,938.3979,0
2024-11-15 13:00:07,347.7669,-0.3793924
2024-11-15 13:00:06,341.9208,-0.6206076
2024-11-15 13:00:05,252.2678,0
2024-11-15 13:00:04,258.3674,0
2024-11-15 13:00:03,275.5175,0
2024-11-15 13:00:02,358.2065,0
2024-11-15 13:00:01,595.6448,0
2024-11-15 13:00:00,692.7662,0
2024-11-15 12:59:59,295.3487,0
2024-11-15 12:59:58,236.6176,0
2024-11-15 12:59:57,267.9116,-0.3795751
2024-11-15 12:59:56,300.2633,-0.6204249
2024-11-15 12:59:55,257.3306,0
2024-11-15 12:59:54,238.1009,0
2024-11-15 12:59:53,236.5457,0
2024-11-15 12:59:52,256.4621,0
2024-11-15 12:59:51,267.9084,0
2024-11-15 12:59:50,239.2611,0
2024-11-15 12:59:49,314.98,0
2024-11-15 12:59:48,368.9295,0
2024-11-15 12:59:47,358.427,-0.3795369
2024-11-15 12:59:46,488.7708,-0.6204631
2024-11-15 12:59:45,347.1072,0
2024-11-15 12:59:44,238.2923,0
2024-11-15 12:59:43,241.6029,0
2024-11-15 12:59:42,303.2487,0
2024-11-15 12:59:41,852.6501,0
2024-11-15 12:59:40,1112.2582,0
2024-11-15 12:59:39,374.6822,0
2024-11-15 12:59:38,363.5987,0
2024-11-15 12:59:37,277.3279,-0.3795392
2024-11-15 12:59:36,293.5013,-0.6204608
2024-11-15 12:59:35,308.4486,0
2024-11-15 12:59:34,350.5921,0
2024-11-15 12:59:33,258.4177,0
2024-11-15 12:59:32,367.2234,0
2024-11-15 12:59:31,941.7703,0
2024-11-15 12:59:30,1092.6969,0
2024-11-15 12:59:29,255.8316,0
2024-11-15 12:59:28,293.2369,0
2024-11-15 12:59:27,386.5638,-0.3794268
2024-11-15 12:59:26,333.3166,-0.6205732
2024-11-15 12:59:25,235.9018,0
2024-11-15 12:59:24,238.2462,0
2024-11-15 12:59:23,237.396,0
2024-11-15 12:59:22,238.7314,0
2024-11-15 12:59:21,243.4084,0
2024-11-15 12:59:20,243.3013,0
2024-11-15 12:59:19,256.7694,0
2024-11-15 12:59:18,272.7603,0
2024-11-15 12:59:17,273.3198,-0.379593
2024-11-15 12:59:16,296.4546,-0.620407
2024-11-15 12:59:15,239.2302,0
2024-11-15 12:59:14,239.1423,0
2024-11-15 12:59:13,856.6549,0
2024-11-15 12:59:12,1245.8573,0
2024-11-15 12:59:11,238.1533,0
2024-11-15 12:59:10,240.3647,0
2024-11-15 12:59:09,3113.379,0
2024-11-15 12:59:08,4934.839,0
2024-11-15 12:59:07,271.2946,-0.3796775
2024-11-15 12:59:06,300.1155,-0.6203225
2024-11-15 12:59:05,252.6519,0
2024-11-15 12:59:04,238.2276,0
2024-11-15 12:59:03,236.6206,0
2024-11-15 12:59:02,360.8965,0
2024-11-15 12:59:01,440.0588,0
2024-11-15 12:59:00,237.5214,0
2024-11-15 12:58:59,238.8639,0
2024-11-15 12:58:58,237.3766,0
2024-11-15 12:58:57,264.5876,-0.3796626
2024-11-15 12:58:56,353.1732,-0.6203374
2024-11-15 12:58:55,527.2356,0
2024-11-15 12:58:54,585.8201,0
2024-11-15 12:58:53,348.3276,0
2024-11-15 12:58:52,239.0671,0
2024-11-15 12:58:51,237.9139,0
2024-11-15 12:58:50,241.0124,0
2024-11-15 12:58:49,318.7889,0
2024-11-15 12:58:48,365.928,0
2024-11-15 12:58:47,272.9684,-0.3796155
2024-11-15 12:58:46,336.1495,-0.6203845
2024-11-15 12:58:45,300.789,0
2024-11-15 12:58:44,240.7573,0
2024-11-15 12:58:43,243.1447,0
2024-11-15 12:58:42,243.4771,0
2024-11-15 12:58:41,241.7634,0
2024-11-15 12:58:40,278.2701,0
2024-11-15 12:58:39,331.4888,0
2024-11-15 12:58:38,292.5211,0
2024-11-15 12:58:37,263.7232,-0.379586
2024-11-15 12:58:36,277.8457,-0.620414
2024-11-15 12:58:35,242.6584,0
2024-11-15 12:58:34,243.9584,0
2024-11-15 12:58:33,273.9344,0
2024-11-15 12:58:32,366.3006,0
2024-11-15 12:58:31,363.2749,0
2024-11-15 12:58:30,397.6439,0
2024-11-15 12:58:29,472.8588,0
2024-11-15 12:58:28,238.9846,0
2024-11-15 12:58:27,267.8896,-0.3796967
2024-11-15 12:58:26,288.0671,-0.6203033
2024-11-15 12:58:25,242.0722,0
2024-11-15 12:58:24,239.7983,0
2024-11-15 12:58:23,239.4659,0
2024-11-15 12:58:22,237.7146,0
2024-11-15 12:58:21,240.9028,0
2024-11-15 12:58:20,241.3359,0
2024-11-15 12:58:19,1013.8421,0
2024-11-15 12:58:18,2609.989,0
2024-11-15 12:58:17,2075.079,-0.3795464
2024-11-15 12:58:16,293.7076,-0.6204536
2024-11-15 12:58:15,238.2816,0
2024-11-15 12:58:14,238.9608,0
2024-11-15 12:58:13,2029.669,0
2024-11-15 12:58:12,3232.509,0
2024-11-15 12:58:11,761.3389,0
2024-11-15 12:58:10,988.2791,0
2024-11-15 12:58:09,381.1295,0
2024-11-15 12:58:08,308.6547,0
2024-11-15 12:58:07,332.9596,-0.3797065
2024-11-15 12:58:06,399.0192,-0.6202935
2024-11-15 12:58:05,262.8632,0
2024-11-15 12:58:04,318.5365,0
2024-11-15 12:58:03,365.7179,0
2024-11-15 12:58:02,302.1159,0
2024-11-15 12:58:01,340.4827,0
2024-11-15 12:58:00,239.626,0
2024-11-15 12:57:59,239.0294,0
2024-11-15 12:57:58,367.2915,-0.3796238
2024-11-15 12:57:57,477.1425,-0.6203762
2024-11-15 12:57:56,285.9176,0
2024-11-15 12:57:55,245.6528,0
2024-11-15 12:57:54,250.0652,0
2024-11-15 12:57:53,242.7544,0
2024-11-15 12:57:52,275.1261,0
2024-11-15 12:57:51,361.293,0
2024-11-15 12:57:50,349.9082,0
2024-11-15 12:57:49,257.8715,0
2024-11-15 12:57:48,377.7563,-0.3794024
2024-11-15 12:57:47,445.5459,-0.6205976
2024-11-15 12:57:46,335.7642,0
2024-11-15 12:57:45,308.2172,0
2024-11-15 12:57:44,238.1043,0
