time,received,sent
2024-11-15 13:01:22,0,0
2024-11-15 13:01:21,0,0
2024-11-15 13:01:20,0,0
2024-11-15 13:01:19,0,0
2024-11-15 13:01:18,0,0
2024-11-15 13:01:17,0.8167358,0
2024-11-15 13:01:16,8.748,-0.9074432
2024-11-15 13:01:15,12.179264,-1.4925568
2024-11-15 13:01:14,0,0
2024-11-15 13:01:13,0,0
2024-11-15 13:01:12,0,0
2024-11-15 13:01:11,0,0
2024-11-15 13:01:10,0,0
2024-11-15 13:01:09,0,0
2024-11-15 13:01:08,0,0
2024-11-15 13:01:07,0,0
2024-11-15 13:01:06,0,0
2024-11-15 13:01:05,0,0
2024-11-15 13:01:04,0,0
2024-11-15 13:01:03,0,-0.2844163
2024-11-15 13:01:02,0,-0.4675837
2024-11-15 13:01:01,0,0
2024-11-15 13:01:00,0,0
2024-11-15 13:00:59,0,0
2024-11-15 13:00:58,0,0
2024-11-15 13:00:57,0,0
2024-11-15 13:00:56,0,0
2024-11-15 13:00:55,0,-0.2844492
2024-11-15 13:00:54,0,-0.4675508
2024-11-15 13:00:53,0,0
2024-11-15 13:00:52,1.004166,0
2024-11-15 13:00:51,3.388335,0
2024-11-15 13:00:50,4.319559,-0.2843423
2024-11-15 13:00:49,3.515019,-0.4676577
2024-11-15 13:00:48,1.820921,-0.2844001
2024-11-15 13:00:47,1.4642832,-0.7519855
2024-11-15 13:00:46,2.407717,-0.4676144
2024-11-15 13:00:45,0.2722797,0
2024-11-15 13:00:44,0.9075307,0
2024-11-15 13:00:43,0.7561895,0
2024-11-15 13:00:42,0.5323755,-0.2359391
2024-11-15 13:00:41,1.5713732,-0.6240104
2024-11-15 13:00:40,1.1442512,-0.3880504
2024-11-15 13:00:39,0,0
2024-11-15 13:00:38,0,0
2024-11-15 13:00:37,0.4718266,-0.4960229
2024-11-15 13:00:36,0.7761734,-0.8159771
2024-11-15 13:00:35,0,0
2024-11-15 13:00:34,0,0
2024-11-15 13:00:33,0,0
2024-11-15 13:00:32,0,-0.2842866
2024-11-15 13:00:31,0.2601192,-0.7036355
2024-11-15 13:00:30,0.4278808,-0.388078
2024-11-15 13:00:29,0,0
2024-11-15 13:00:28,0,0
2024-11-15 13:00:27,0,0
2024-11-15 13:00:26,0.4723395,-0.7085093
2024-11-15 13:00:25,0.7756605,-1.1634907
2024-11-15 13:00:24,0,-0.2845574
2024-11-15 13:00:23,0,-0.4674426
2024-11-15 13:00:22,0,0
2024-11-15 13:00:21,0,0
2024-11-15 13:00:20,0,-0.2845371
2024-11-15 13:00:19,0,-0.4674629
2024-11-15 13:00:18,0,-0.2845464
2024-11-15 13:00:17,0,-0.7520963
2024-11-15 13:00:16,0,-0.4673573
2024-11-15 13:00:15,0,0
2024-11-15 13:00:14,0,0
2024-11-15 13:00:13,0,0
2024-11-15 13:00:12,0,0
2024-11-15 13:00:11,0,0
2024-11-15 13:00:10,0,0
2024-11-15 13:00:09,0,0
2024-11-15 13:00:08,0.2721967,0
2024-11-15 13:00:07,8.397571,-0.9075077
2024-11-15 13:00:06,13.074232,-1.4924923
2024-11-15 13:00:05,0,0
2024-11-15 13:00:04,0.260095,-0.2359001
2024-11-15 13:00:03,0.427905,-0.3880999
2024-11-15 13:00:02,0.5210943,-0.5210943
2024-11-15 13:00:01,1.1153464,-0.8549057
2024-11-15 13:00:00,0.6879467,0
2024-11-15 12:59:59,0.6638017,-0.2604136
2024-11-15 12:59:58,0.6481854,-0.4275864
2024-11-15 12:59:57,0.6880556,0
2024-11-15 12:59:56,0.6879155,0
