time,received,sent,multicast
2024-11-15 13:01:22,13.351879,-13.730263,0
2024-11-15 13:01:21,13.541149,-13.784355,0
2024-11-15 13:01:20,15.700895,-15.835735,0
2024-11-15 13:01:19,8.510365,-10.131923,0
2024-11-15 13:01:18,10.24418,-11.622203,0
2024-11-15 13:01:17,13.913803,-16.291772,0
2024-11-15 13:01:16,20.48784,-23.48781,0
2024-11-15 13:01:15,13.086315,-14.952367,0
2024-11-15 13:01:14,45.83034,-48.09868,0
2024-11-15 13:01:13,195.7905,-191.5832,0
2024-11-15 13:01:12,332.4264,-314.827,0
2024-11-15 13:01:11,326.9666,-311.5618,0
2024-11-15 13:01:10,338.536,-310.3519,0
2024-11-15 13:01:09,345.2557,-320.0048,0
2024-11-15 13:01:08,308.5873,-294.7296,0
2024-11-15 13:01:07,315.7788,-291.7459,0
2024-11-15 13:01:06,328.1212,-328.5496,0
2024-11-15 13:01:05,366.555,-371.8827,0
2024-11-15 13:01:04,348.7157,-348.4972,0
2024-11-15 13:01:03,325.3167,-323.3771,0
2024-11-15 13:01:02,301.315,-290.8517,0
2024-11-15 13:01:01,322.9374,-316.5351,0
2024-11-15 13:01:00,318.2316,-310.7681,0
2024-11-15 13:00:59,304.5269,-298.0988,0
2024-11-15 13:00:58,308.8059,-297.0998,0
2024-11-15 13:00:57,257.3531,-247.5492,0
2024-11-15 13:00:56,278.7764,-261.1779,0
2024-11-15 13:00:55,346.1571,-335.291,0
2024-11-15 13:00:54,342.7689,-336.7935,0
2024-11-15 13:00:53,354.5614,-348.2706,0
2024-11-15 13:00:52,327.1397,-320.4542,0
2024-11-15 13:00:51,361.907,-363.6153,0
2024-11-15 13:00:50,370.2604,-355.3224,0
2024-11-15 13:00:49,315.0301,-301.3941,0
2024-11-15 13:00:48,344.6261,-348.5778,0
2024-11-15 13:00:47,344.2868,-341.6895,0
2024-11-15 13:00:46,369.6314,-374.5216,0
2024-11-15 13:00:45,374.3228,-370.2248,0
2024-11-15 13:00:44,320.3542,-296.3551,0
2024-11-15 13:00:43,303.2087,-284.501,0
2024-11-15 13:00:42,348.7168,-333.0471,0
2024-11-15 13:00:41,358.58,-337.7379,0
2024-11-15 13:00:40,333.6627,-324.1988,0
2024-11-15 13:00:39,367.9073,-365.9073,0
2024-11-15 13:00:38,319.6968,-313.9176,0
2024-11-15 13:00:37,318.1954,-302.4151,0
2024-11-15 13:00:36,363.267,-347.6924,0
2024-11-15 13:00:35,397.2102,-390.3203,0
2024-11-15 13:00:34,380.7477,-368.4805,0
2024-11-15 13:00:33,387.3035,-373.5717,0
2024-11-15 13:00:32,338.3005,-323.387,0
2024-11-15 13:00:31,303.8943,-291.8544,0
2024-11-15 13:00:30,286.2152,-285.0323,0
2024-11-15 13:00:29,309.7697,-293.3637,0
2024-11-15 13:00:28,324.8429,-310.7857,0
2024-11-15 13:00:27,293.7591,-289.3562,0
2024-11-15 13:00:26,315.2637,-304.5072,0
2024-11-15 13:00:25,378.5629,-367.3192,0
2024-11-15 13:00:24,338.9171,-330.8079,0
2024-11-15 13:00:23,376.1447,-367.7415,0
2024-11-15 13:00:22,354.5357,-345.8293,0
2024-11-15 13:00:21,320.1582,-317.8899,0
2024-11-15 13:00:20,334.5713,-322.9,0
2024-11-15 13:00:19,326.9573,-313.1409,0
2024-11-15 13:00:18,320.8422,-310.5248,0
2024-11-15 13:00:17,357.838,-331.9459,0
2024-11-15 13:00:16,358.5039,-339.7131,0
2024-11-15 13:00:15,332.8619,-326.3235,0
2024-11-15 13:00:14,314.8701,-302.0045,0
2024-11-15 13:00:13,355.1681,-340.3853,0
