time,minor,major
2024-11-15 18:25:10,226.3353,0
2024-11-15 18:25:09,226.291,0
2024-11-15 18:25:08,225.0088,0
2024-11-15 18:25:07,298.4833,0
2024-11-15 18:25:06,373.2043,0
2024-11-15 18:25:05,230.312,0
2024-11-15 18:25:04,224.6898,0
2024-11-15 18:25:03,224.2982,0
2024-11-15 18:25:02,224.3404,0
2024-11-15 18:25:01,284.3311,0
2024-11-15 18:25:00,345.3337,0
2024-11-15 18:24:59,225.3105,0
2024-11-15 18:24:58,279.9569,0
2024-11-15 18:24:57,430.6435,0
2024-11-15 18:24:56,418.7972,0
2024-11-15 18:24:55,228.369,0
2024-11-15 18:24:54,233.976,0
2024-11-15 18:24:53,229.3219,0
2024-11-15 18:24:52,229.6768,0
2024-11-15 18:24:51,226.6341,0
2024-11-15 18:24:50,230.0213,0
2024-11-15 18:24:49,233.3585,0
2024-11-15 18:24:48,242.0149,0
2024-11-15 18:24:47,304.3581,0
2024-11-15 18:24:46,415.3397,0
2024-11-15 18:24:45,374.1192,0
2024-11-15 18:24:44,287.5293,0
2024-11-15 18:24:43,244.9974,0
2024-11-15 18:24:42,248.9568,0
2024-11-15 18:24:41,235.6583,0
2024-11-15 18:24:40,706.8094,0
2024-11-15 18:24:39,1179.8557,0
2024-11-15 18:24:38,223.678,0
2024-11-15 18:24:37,295.085,0
2024-11-15 18:24:36,366.1934,0
2024-11-15 18:24:35,224.385,0
2024-11-15 18:24:34,223.9812,0
2024-11-15 18:24:33,222.6243,0
2024-11-15 18:24:32,243.4466,0
2024-11-15 18:24:31,316.1811,0
2024-11-15 18:24:30,331.047,0
2024-11-15 18:24:29,267.2094,0
2024-11-15 18:24:28,307.1375,0
2024-11-15 18:24:27,308.9195,0
2024-11-15 18:24:26,395.4686,0
2024-11-15 18:24:25,230.9834,0
2024-11-15 18:24:24,278.6234,0
2024-11-15 18:24:23,330.9902,0
2024-11-15 18:24:22,224.324,0
2024-11-15 18:24:21,225.9997,0
2024-11-15 18:24:20,281.9629,0
2024-11-15 18:24:19,336.0379,0
2024-11-15 18:24:18,283.6814,0
2024-11-15 18:24:17,407.5549,0
2024-11-15 18:24:16,430.8493,0
2024-11-15 18:24:15,350.3217,0
2024-11-15 18:24:14,242.3049,0
2024-11-15 18:24:13,226.6597,0
2024-11-15 18:24:12,233.6793,0
2024-11-15 18:24:11,241.2926,0
2024-11-15 18:24:10,224.9791,0
2024-11-15 18:24:09,224.3679,0
2024-11-15 18:24:08,226.043,0
2024-11-15 18:24:07,297.787,0
2024-11-15 18:24:06,370.5533,0
2024-11-15 18:24:05,236.4176,0
2024-11-15 18:24:04,248.5632,0
2024-11-15 18:24:03,241.3937,0
2024-11-15 18:24:02,253.249,0
2024-11-15 18:24:01,282.9599,0
2024-11-15 18:24:00,351.1025,0
2024-11-15 18:23:59,244.3086,0
2024-11-15 18:23:58,224.9633,0
2024-11-15 18:23:57,311.4452,0
2024-11-15 18:23:56,397.197,0
2024-11-15 18:23:55,226.6941,0
2024-11-15 18:23:54,227.0388,0
2024-11-15 18:23:53,228.6517,0
2024-11-15 18:23:52,226.9723,0
2024-11-15 18:23:51,279.938,0
2024-11-15 18:23:50,388.0353,0
2024-11-15 18:23:49,332.3993,0
2024-11-15 18:23:48,225.2957,0
2024-11-15 18:23:47,357.0662,0
2024-11-15 18:23:46,546.2702,0
2024-11-15 18:23:45,345.0113,0
2024-11-15 18:23:44,234.9956,0
2024-11-15 18:23:43,224.6488,0
2024-11-15 18:23:42,237.4131,0
2024-11-15 18:23:41,305.2859,0
2024-11-15 18:23:40,333.0101,0
2024-11-15 18:23:39,224.9982,0
2024-11-15 18:23:38,222.3109,0
2024-11-15 18:23:37,343.4196,0
2024-11-15 18:23:36,464.2569,0
2024-11-15 18:23:35,222.9896,0
2024-11-15 18:23:34,223.6476,0
2024-11-15 18:23:33,279.9666,0
2024-11-15 18:23:32,334.3947,0
2024-11-15 18:23:31,226.0098,0
2024-11-15 18:23:30,227.3118,0
2024-11-15 18:23:29,228.6479,0
2024-11-15 18:23:28,226.3793,0
2024-11-15 18:23:27,370.2616,0
2024-11-15 18:23:26,511.4401,0
2024-11-15 18:23:25,235.673,0
2024-11-15 18:23:24,298.9715,0
2024-11-15 18:23:23,434.1682,0
2024-11-15 18:23:22,415.1358,0
2024-11-15 18:23:21,230.3313,0
2024-11-15 18:23:20,222.3622,0
2024-11-15 18:23:19,225.0156,0
2024-11-15 18:23:18,1353.45,0
2024-11-15 18:23:17,2530.93,0
2024-11-15 18:23:16,423.6077,0
2024-11-15 18:23:15,354.6814,0
2024-11-15 18:23:14,255.7332,0
2024-11-15 18:23:13,251.5773,0
2024-11-15 18:23:12,230.0522,0
2024-11-15 18:23:11,234.5967,0
2024-11-15 18:23:10,239.4131,0
2024-11-15 18:23:09,266.3173,0
2024-11-15 18:23:08,249.6685,0
2024-11-15 18:23:07,297.4691,0
2024-11-15 18:23:06,363.1407,0
2024-11-15 18:23:05,230.3509,0
2024-11-15 18:23:04,225.0117,0
2024-11-15 18:23:03,280.6785,0
2024-11-15 18:23:02,389.3929,0
2024-11-15 18:23:01,389.9244,0
2024-11-15 18:23:00,395.9859,0
2024-11-15 18:22:59,335.6373,0
2024-11-15 18:22:58,223.9865,0
2024-11-15 18:22:57,304.5613,0
2024-11-15 18:22:56,388.4808,0
2024-11-15 18:22:55,234.3009,0
2024-11-15 18:22:54,224.6571,0
2024-11-15 18:22:53,224.3335,0
2024-11-15 18:22:52,226.0619,0
2024-11-15 18:22:51,226.6421,0
2024-11-15 18:22:50,224.0277,0
2024-11-15 18:22:49,224.0018,0
2024-11-15 18:22:48,224.2898,0
2024-11-15 18:22:47,283.7065,0
2024-11-15 18:22:46,398.9774,0
2024-11-15 18:22:45,346.0065,0
2024-11-15 18:22:44,238.9725,0
2024-11-15 18:22:43,280.3011,0
2024-11-15 18:22:42,337.0469,0
2024-11-15 18:22:41,234.9557,0
2024-11-15 18:22:40,707.1832,0
2024-11-15 18:22:39,1180.8241,0
2024-11-15 18:22:38,225.3442,0
2024-11-15 18:22:37,292.7382,0
2024-11-15 18:22:36,357.2549,0
2024-11-15 18:22:35,223.3408,0
2024-11-15 18:22:34,235.3939,0
2024-11-15 18:22:33,246.2675,0
2024-11-15 18:22:32,224.6637,0
2024-11-15 18:22:31,229.0038,0
2024-11-15 18:22:30,229.9949,0
2024-11-15 18:22:29,226.6527,0
2024-11-15 18:22:28,226.3441,0
2024-11-15 18:22:27,307.0935,0
2024-11-15 18:22:26,384.9352,0
2024-11-15 18:22:25,238.3089,0
2024-11-15 18:22:24,235.3422,0
2024-11-15 18:22:23,232.3275,0
2024-11-15 18:22:22,225.3416,0
2024-11-15 18:22:21,225.6907,0
2024-11-15 18:22:20,225.9809,0
2024-11-15 18:22:19,227.6371,0
2024-11-15 18:22:18,226.3719,0
2024-11-15 18:22:17,293.7229,0
2024-11-15 18:22:16,425.969,0
2024-11-15 18:22:15,381.4854,0
2024-11-15 18:22:14,283.8456,0
2024-11-15 18:22:13,230.3229,0
2024-11-15 18:22:12,233.0447,0
2024-11-15 18:22:11,249.3065,0
2024-11-15 18:22:10,306.0452,0
2024-11-15 18:22:09,364.2406,0
2024-11-15 18:22:08,226.03,0
2024-11-15 18:22:07,289.0809,0
2024-11-15 18:22:06,356.5711,0
2024-11-15 18:22:05,227.6239,0
2024-11-15 18:22:04,230.0456,0
2024-11-15 18:22:03,232.7144,0
2024-11-15 18:22:02,231.9447,0
2024-11-15 18:22:01,287.9793,0
2024-11-15 18:22:00,346.9807,0
2024-11-15 18:21:59,228.0212,0
2024-11-15 18:21:58,228.7176,0
2024-11-15 18:21:57,311.477,0
2024-11-15 18:21:56,393.1869,0
2024-11-15 18:21:55,233.3271,0
2024-11-15 18:21:54,237.6898,0
2024-11-15 18:21:53,264.3968,0
2024-11-15 18:21:52,268.5364,0
2024-11-15 18:21:51,229.3233,0
2024-11-15 18:21:50,228.7254,0
2024-11-15 18:21:49,236.6803,0
2024-11-15 18:21:48,240.7123,0
2024-11-15 18:21:47,309.7058,0
2024-11-15 18:21:46,415.2332,0
2024-11-15 18:21:45,355.7118,0
2024-11-15 18:21:44,274.4005,0
2024-11-15 18:21:43,283.2013,0
2024-11-15 18:21:42,254.8502,0
2024-11-15 18:21:41,281.5089,0
2024-11-15 18:21:40,236.0609,0
2024-11-15 18:21:39,296.2507,0
2024-11-15 18:21:38,332.0492,0
2024-11-15 18:21:37,341.991,0
2024-11-15 18:21:36,517.6717,0
2024-11-15 18:21:35,343.9515,0
2024-11-15 18:21:34,254.1568,0
2024-11-15 18:21:33,294.6076,0
2024-11-15 18:21:32,269.9668,0
2024-11-15 18:21:31,248.2506,0
2024-11-15 18:21:30,226.6704,0
2024-11-15 18:21:29,222.002,0
2024-11-15 18:21:28,222.3521,0
2024-11-15 18:21:27,304.5509,0
