time,free,used,cached,buffers
2024-11-15 18:25:10,29216.71,1957.113,904.8516,19.80859
2024-11-15 18:25:09,29216.97,1956.852,904.8516,19.80859
2024-11-15 18:25:08,29215.72,1958.102,904.8516,19.80859
2024-11-15 18:25:07,28345.99,2825.125,907.5547,19.80859
2024-11-15 18:25:06,28345.59,2825.535,907.5547,19.80078
2024-11-15 18:25:05,28346.23,2824.906,907.5469,19.80078
2024-11-15 18:25:04,28349.62,2821.516,907.5469,19.80078
2024-11-15 18:25:03,28349.88,2821.254,907.5469,19.80078
2024-11-15 18:25:02,28348.88,2822.258,907.543,19.80078
2024-11-15 18:25:01,28348.73,2822.406,907.5469,19.79688
2024-11-15 18:25:00,28347.39,2823.742,907.5469,19.79688
2024-11-15 18:24:59,28347.4,2823.734,907.5469,19.79688
2024-11-15 18:24:58,28347.64,2823.496,907.5469,19.79688
2024-11-15 18:24:57,28347.3,2823.836,907.5469,19.79688
2024-11-15 18:24:56,28346.81,2824.336,907.5469,19.78906
2024-11-15 18:24:55,28347.07,2824.074,907.5469,19.78906
2024-11-15 18:24:54,28347.04,2824.105,907.5469,19.78906
2024-11-15 18:24:53,28347.02,2824.129,907.5469,19.78906
2024-11-15 18:24:52,28347.03,2824.121,907.5391,19.78906
2024-11-15 18:24:51,28347.02,2824.137,907.5469,19.78125
2024-11-15 18:24:50,28346.77,2824.383,907.5469,19.78125
2024-11-15 18:24:49,28346.77,2824.383,907.5469,19.78125
2024-11-15 18:24:48,28346.77,2824.383,907.5469,19.78125
2024-11-15 18:24:47,28347.11,2824.043,907.543,19.78125
2024-11-15 18:24:46,28347.51,2823.656,907.543,19.77344
2024-11-15 18:24:45,28347.5,2823.664,907.543,19.77344
2024-11-15 18:24:44,28347.49,2823.672,907.543,19.77344
2024-11-15 18:24:43,28347.7,2823.465,907.543,19.77344
2024-11-15 18:24:42,28348.74,2822.426,907.543,19.77344
2024-11-15 18:24:41,28349.23,2821.938,907.543,19.76953
2024-11-15 18:24:40,28349.23,2821.938,907.543,19.76953
2024-11-15 18:24:39,28349.68,2821.492,907.543,19.76953
2024-11-15 18:24:38,28349.63,2821.539,907.543,19.76953
2024-11-15 18:24:37,28349.7,2821.469,907.543,19.76953
2024-11-15 18:24:36,28349.92,2821.25,907.543,19.76562
2024-11-15 18:24:35,28347.48,2823.688,907.543,19.76562
2024-11-15 18:24:34,28347.21,2823.957,907.543,19.76562
2024-11-15 18:24:33,28347.21,2823.957,907.543,19.76562
2024-11-15 18:24:32,28346.99,2824.188,907.5352,19.76562
2024-11-15 18:24:31,28346.99,2824.188,907.543,19.75781
2024-11-15 18:24:30,28346.75,2824.426,907.543,19.75781
2024-11-15 18:24:29,28346.27,2824.91,907.543,19.75781
2024-11-15 18:24:28,28346.27,2824.91,907.543,19.75781
2024-11-15 18:24:27,28346.29,2824.898,907.5391,19.75781
2024-11-15 18:24:26,28346.08,2825.113,907.5391,19.75
2024-11-15 18:24:25,28346.09,2825.098,907.5391,19.75
2024-11-15 18:24:24,28346.08,2825.113,907.5391,19.75
2024-11-15 18:24:23,28346.09,2825.098,907.5391,19.75
2024-11-15 18:24:22,28346.93,2824.266,907.5391,19.75
2024-11-15 18:24:21,28346.45,2824.75,907.5391,19.74219
2024-11-15 18:24:20,28346.46,2824.742,907.5391,19.74219
2024-11-15 18:24:19,28346.19,2825.008,907.5391,19.74219
2024-11-15 18:24:18,28346.68,2824.516,907.5391,19.74219
2024-11-15 18:24:17,28342.3,2828.91,907.5312,19.74219
2024-11-15 18:24:16,28342.04,2829.164,907.5391,19.73438
2024-11-15 18:24:15,28342.32,2828.887,907.5391,19.73438
2024-11-15 18:24:14,28342.57,2828.641,907.5391,19.73438
2024-11-15 18:24:13,28342.57,2828.641,907.5391,19.73438
2024-11-15 18:24:12,28339.11,2832.094,907.5391,19.73438
