time,load1,load5,load15
2024-11-15 18:25:10,0.25,0.44,0.46
2024-11-15 18:25:05,0.27,0.45,0.46
2024-11-15 18:25:00,0.3,0.46,0.47
2024-11-15 18:24:55,0.32,0.47,0.47
2024-11-15 18:24:50,0.27,0.46,0.47
2024-11-15 18:24:45,0.29,0.47,0.47
2024-11-15 18:24:40,0.31,0.47,0.47
2024-11-15 18:24:35,0.34,0.48,0.47
2024-11-15 18:24:30,0.37,0.49,0.48
2024-11-15 18:24:25,0.32,0.48,0.47
2024-11-15 18:24:20,0.347018,0.489006,0.479006
2024-11-15 18:24:15,0.35,0.49,0.48
2024-11-15 18:24:10,0.41,0.51,0.48
2024-11-15 18:24:05,0.44,0.52,0.49
2024-11-15 18:24:00,0.48,0.53,0.49
2024-11-15 18:23:55,0.53,0.53,0.49
2024-11-15 18:23:50,0.5660241,0.539006,0.499006
2024-11-15 18:23:45,0.57,0.54,0.5
2024-11-15 18:23:40,0.59,0.55,0.5
2024-11-15 18:23:35,0.55,0.54,0.49
2024-11-15 18:23:30,0.51,0.53,0.49
2024-11-15 18:23:25,0.56,0.54,0.49
2024-11-15 18:23:20,0.61,0.55,0.5
2024-11-15 18:23:15,0.66,0.56,0.5
2024-11-15 18:23:10,0.72,0.57,0.5
2024-11-15 18:23:05,0.78,0.58,0.5
2024-11-15 18:23:00,0.85,0.59,0.51
2024-11-15 18:22:55,0.2105767,0.4549106,0.4649702
2024-11-15 18:22:50,0.14,0.44,0.46
2024-11-15 18:22:45,0.15,0.45,0.46
2024-11-15 18:22:40,0.18,0.47,0.47
2024-11-15 18:22:35,0.19,0.48,0.47
2024-11-15 18:22:30,0.21,0.48,0.48
2024-11-15 18:22:25,0.23,0.49,0.48
2024-11-15 18:22:20,0.25,0.5,0.48
2024-11-15 18:22:15,0.27,0.51,0.48
2024-11-15 18:22:10,0.3,0.52,0.49
2024-11-15 18:22:05,0.32,0.53,0.49
2024-11-15 18:22:00,0.35,0.54,0.49
2024-11-15 18:21:55,0.38,0.55,0.5
2024-11-15 18:21:50,0.4160241,0.559006,0.5
