time,received,sent
2024-11-15 21:18:43,16.81851,-12.355788
2024-11-15 21:18:42,23.49776,-15.823642
2024-11-15 21:18:41,17.091,-14.466803
2024-11-15 21:18:40,14.21021,-13.500604
2024-11-15 21:18:39,97.00137,-21.38609
2024-11-15 21:18:38,123.79672,-24.10561
2024-11-15 21:18:37,17.0659,-14.453159
2024-11-15 21:18:36,25.25528,-16.8666
2024-11-15 21:18:35,20.24453,-14.41889
2024-11-15 21:18:34,6.1679,-6.53839
2024-11-15 21:18:33,10.449727,-10.482134
2024-11-15 21:18:32,112.16477,-132.48956
2024-11-15 21:18:31,383.6001,-485.4097
2024-11-15 21:18:30,562.9858,-749.7046
2024-11-15 21:18:29,567.1656,-745.4254
2024-11-15 21:18:28,594.1612,-758.7272
2024-11-15 21:18:27,626.1371,-820.6932
2024-11-15 21:18:26,649.5682,-828.8952
2024-11-15 21:18:25,592.082,-749.0567
2024-11-15 21:18:24,601.5561,-755.0579
2024-11-15 21:18:23,610.3241,-780.5311
2024-11-15 21:18:22,536.0036,-708.3404
2024-11-15 21:18:21,518.1521,-676.4144
2024-11-15 21:18:20,552.7248,-719.886
2024-11-15 21:18:19,528.738,-684.5372
2024-11-15 21:18:18,648.8652,-804.3961
2024-11-15 21:18:17,680.9062,-858.1735
2024-11-15 21:18:16,626.6682,-805.1429
2024-11-15 21:18:15,558.3493,-747.7299
2024-11-15 21:18:14,562.2403,-770.5107
2024-11-15 21:18:13,568.1205,-761.9267
2024-11-15 21:18:12,579.0809,-762.2526
2024-11-15 21:18:11,597.1484,-781.6271
2024-11-15 21:18:10,604.5023,-802.2518
2024-11-15 21:18:09,609.7488,-827.1433
2024-11-15 21:18:08,604.4024,-778.1952
2024-11-15 21:18:07,586.2921,-737.7728
2024-11-15 21:18:06,562.1634,-738.2049
2024-11-15 21:18:05,559.1313,-730.2297
2024-11-15 21:18:04,563.565,-758.3374
2024-11-15 21:18:03,529.4401,-723.8843
2024-11-15 21:18:02,533.3329,-716.5587
2024-11-15 21:18:01,562.8837,-759.3701
2024-11-15 21:18:00,511.4146,-692.9677
2024-11-15 21:17:59,516.3693,-709.6591
2024-11-15 21:17:58,598.9668,-789.1433
2024-11-15 21:17:57,612.1051,-755.6433
2024-11-15 21:17:56,538.4296,-706.451
2024-11-15 21:17:55,519.5352,-694.9633
2024-11-15 21:17:54,559.7495,-743.9972
2024-11-15 21:17:53,652.7674,-854.0189
2024-11-15 21:17:52,2063.49,-2895.352
2024-11-15 21:17:51,3883.861,-5648.661
2024-11-15 21:17:50,3771.217,-5645.473
2024-11-15 21:17:49,3748.086,-5600.58
2024-11-15 21:17:48,3853.029,-5612.418
2024-11-15 21:17:47,3950.331,-5666.835
2024-11-15 21:17:46,3887.869,-5651.477
2024-11-15 21:17:45,3777.007,-5591.714
2024-11-15 21:17:44,3812.763,-5618.291
2024-11-15 21:17:43,3776.973,-5563.359
2024-11-15 21:17:42,3802.306,-5577.298
2024-11-15 21:17:41,3876.218,-5661.556
2024-11-15 21:17:40,3872.631,-5671.359
2024-11-15 21:17:39,3852.127,-5652.762
2024-11-15 21:17:38,3939.845,-5615.064
2024-11-15 21:17:37,3858.014,-5534.745
2024-11-15 21:17:36,3865.666,-5548.421
2024-11-15 21:17:35,3909.291,-5633.935
2024-11-15 21:17:34,3797.495,-5629.138
2024-11-15 21:17:33,3720.876,-5561.309
2024-11-15 21:17:32,3837.766,-5609.04
2024-11-15 21:17:31,3915.255,-5699.017
2024-11-15 21:17:30,3890.863,-5676.986
2024-11-15 21:17:29,3847.694,-5633.001
2024-11-15 21:17:28,3856.717,-5598.545
2024-11-15 21:17:27,3824.081,-5523.022
2024-11-15 21:17:26,3845.114,-5518.924
2024-11-15 21:17:25,3862.886,-5593.817
2024-11-15 21:17:24,3867.812,-5640.824
2024-11-15 21:17:23,3795.828,-5572.643
2024-11-15 21:17:22,3773.875,-5527.77
2024-11-15 21:17:21,3711.956,-5398.338
2024-11-15 21:17:20,3439.506,-4924.462
2024-11-15 21:17:19,3060.653,-4381.895
2024-11-15 21:17:18,3236.029,-4407.55
2024-11-15 21:17:17,3723.884,-4446.193
2024-11-15 21:17:16,3604.325,-4316.291
2024-11-15 21:17:15,2950.369,-4205.775
2024-11-15 21:17:14,2975.537,-4286.199
2024-11-15 21:17:13,3000.599,-4292.117
2024-11-15 21:17:12,2945.008,-4262.253
2024-11-15 21:17:11,2880.311,-4194.403
2024-11-15 21:17:10,2882.373,-4198.343
2024-11-15 21:17:09,2976.649,-4284.952
2024-11-15 21:17:08,3036.463,-4334.465
2024-11-15 21:17:07,2948.677,-4241.507
2024-11-15 21:17:06,2978.536,-4250.054
2024-11-15 21:17:05,2991.936,-4246.21
2024-11-15 21:17:04,2912.929,-4209.389
2024-11-15 21:17:03,2931.544,-4242.942
2024-11-15 21:17:02,2924.115,-4182.212
2024-11-15 21:17:01,2922.913,-4215.134
2024-11-15 21:17:00,2948.838,-4230.922
2024-11-15 21:16:59,2972.989,-4261.863
2024-11-15 21:16:58,2877.294,-4183.057
2024-11-15 21:16:57,2882.869,-4190.35
2024-11-15 21:16:56,2910.004,-4225.342
2024-11-15 21:16:55,2883.197,-4175.302
2024-11-15 21:16:54,2967.694,-4246.37
2024-11-15 21:16:53,3059.999,-4334.071
2024-11-15 21:16:52,3010.193,-4325.356
2024-11-15 21:16:51,2916.823,-4305.984
2024-11-15 21:16:50,2934.61,-4289.45
2024-11-15 21:16:49,2844.78,-4120.467
2024-11-15 21:16:48,2733.272,-3924.817
2024-11-15 21:16:47,2657.641,-3796.08
2024-11-15 21:16:46,2615.05,-3621.43
2024-11-15 21:16:45,2436.246,-3421.889
2024-11-15 21:16:44,2552.046,-3417.476
2024-11-15 21:16:43,2633.959,-3428.121
2024-11-15 21:16:42,2286.8,-3314.278
2024-11-15 21:16:41,2322.98,-3331.669
2024-11-15 21:16:40,2352.022,-3339.728
2024-11-15 21:16:39,2297.889,-3306.865
2024-11-15 21:16:38,2340.475,-3352.087
2024-11-15 21:16:37,2405.512,-3399.649
2024-11-15 21:16:36,2321.595,-3298.579
2024-11-15 21:16:35,2334.858,-3313.126
2024-11-15 21:16:34,2366.536,-3381.884
2024-11-15 21:16:33,2345.961,-3351.777
2024-11-15 21:16:32,2398.859,-3399.152
2024-11-15 21:16:31,2327.228,-3348.974
2024-11-15 21:16:30,2230.51,-3229.703
2024-11-15 21:16:29,2300.632,-3297.133
2024-11-15 21:16:28,2338.191,-3320.407
2024-11-15 21:16:27,2391.548,-3361.622
2024-11-15 21:16:26,2425.15,-3432.82
2024-11-15 21:16:25,2427.389,-3419.268
2024-11-15 21:16:24,2353.563,-3324.279
2024-11-15 21:16:23,2379.255,-3343.511
2024-11-15 21:16:22,2450.015,-3417.812
2024-11-15 21:16:21,2375.145,-3358.982
2024-11-15 21:16:20,2345.561,-3380.203
2024-11-15 21:16:19,2348.904,-3363.871
2024-11-15 21:16:18,2366.171,-3335.196
2024-11-15 21:16:17,2396.255,-3351.709
2024-11-15 21:16:16,2435.756,-3376.468
2024-11-15 21:16:15,2379.06,-3343.529
2024-11-15 21:16:14,2405.881,-3425.841
2024-11-15 21:16:13,2387.082,-3421.858
2024-11-15 21:16:12,2339.828,-3351.961
2024-11-15 21:16:11,2366.164,-3344.877
2024-11-15 21:16:10,2294.427,-3321.104
2024-11-15 21:16:09,2300.65,-3341.451
2024-11-15 21:16:08,2316.699,-3285.303
2024-11-15 21:16:07,2339.313,-3297.088
2024-11-15 21:16:06,2369.243,-3334.32
2024-11-15 21:16:05,2368.158,-3328
2024-11-15 21:16:04,2357.601,-3387.586
2024-11-15 21:16:03,2297.079,-3351.862
2024-11-15 21:16:02,2326.719,-3336.117
2024-11-15 21:16:01,2416.216,-3435.679
2024-11-15 21:16:00,2392.011,-3444.722
2024-11-15 21:15:59,2296.327,-3352.648
2024-11-15 21:15:58,2408.213,-3432.017
2024-11-15 21:15:57,2463.943,-3476.99
2024-11-15 21:15:56,2389.118,-3411.728
2024-11-15 21:15:55,2434.662,-3455.19
2024-11-15 21:15:54,2395.756,-3425.393
2024-11-15 21:15:53,2339.722,-3351.025
2024-11-15 21:15:52,2333.875,-3350.509
2024-11-15 21:15:51,2352.985,-3362.596
2024-11-15 21:15:50,2344.558,-3356.563
2024-11-15 21:15:49,2314.463,-3345.797
2024-11-15 21:15:48,2358.423,-3400.532
2024-11-15 21:15:47,2344.96,-3393.583
2024-11-15 21:15:46,2357.565,-3359.085
2024-11-15 21:15:45,2452.885,-3446.157
2024-11-15 21:15:44,2431.735,-3456.271
2024-11-15 21:15:43,2351.371,-3371.877
2024-11-15 21:15:42,2312.217,-3316.644
2024-11-15 21:15:41,2318.864,-3349.506
2024-11-15 21:15:40,2290.554,-3314.979
2024-11-15 21:15:39,2282.887,-3303.624
2024-11-15 21:15:38,2357.491,-3320.437
2024-11-15 21:15:37,2424.791,-3354.696
2024-11-15 21:15:36,2349.867,-3356.757
2024-11-15 21:15:35,2274.381,-3332.181
2024-11-15 21:15:34,2351.92,-3374.519
2024-11-15 21:15:33,2372.564,-3433.56
2024-11-15 21:15:32,2495.956,-3640.666
2024-11-15 21:15:31,2588.949,-3781.586
2024-11-15 21:15:30,2645.567,-3840.703
2024-11-15 21:15:29,2639.6,-3845.064
2024-11-15 21:15:28,2600.586,-3785.641
2024-11-15 21:15:27,2711.349,-3877.222
2024-11-15 21:15:26,2731.037,-3895.1
2024-11-15 21:15:25,2677.618,-3822.809
2024-11-15 21:15:24,2722.964,-3860.224
2024-11-15 21:15:23,2691.936,-3826.563
2024-11-15 21:15:22,2607.519,-3742.784
2024-11-15 21:15:21,2612.223,-3786.87
2024-11-15 21:15:20,2690.335,-3877.614
2024-11-15 21:15:19,2701.757,-3875.275
2024-11-15 21:15:18,2705.997,-3904.208
2024-11-15 21:15:17,2876.356,-4155.629
2024-11-15 21:15:16,3034.372,-4373.069
2024-11-15 21:15:15,2979.858,-4330.378
2024-11-15 21:15:14,2901.218,-4221.65
2024-11-15 21:15:13,2853.587,-4193.317
2024-11-15 21:15:12,2878.577,-4233.072
2024-11-15 21:15:11,2912.894,-4261.441
2024-11-15 21:15:10,2924.188,-4257.476
2024-11-15 21:15:09,2951.219,-4283.47
2024-11-15 21:15:08,2911.973,-4247.571
2024-11-15 21:15:07,2964.79,-4293.685
2024-11-15 21:15:06,2971.273,-4263.993
2024-11-15 21:15:05,2919.978,-4229.769
2024-11-15 21:15:04,2849.65,-4255.112
2024-11-15 21:15:03,2877.139,-4251.939
2024-11-15 21:15:02,2910.14,-4212.932
2024-11-15 21:15:01,2928.071,-4197.214
2024-11-15 21:15:00,2907.529,-4201.502
2024-11-15 21:14:59,2950.182,-4269.772
2024-11-15 21:14:58,2908.214,-4249.371
2024-11-15 21:14:57,2998.034,-4400.227
2024-11-15 21:14:56,3231.436,-4749.182
2024-11-15 21:14:55,3247.29,-4762.316
2024-11-15 21:14:54,3182.754,-4729.842
2024-11-15 21:14:53,3189.768,-4729.282
2024-11-15 21:14:52,3223.329,-4700.81
2024-11-15 21:14:51,3242.636,-4747.185
2024-11-15 21:14:50,3241.586,-4776.423
2024-11-15 21:14:49,3235.665,-4747.66
2024-11-15 21:14:48,3237.949,-4740.283
2024-11-15 21:14:47,3228.594,-4708.255
2024-11-15 21:14:46,3304.455,-4785.684
2024-11-15 21:14:45,3277.156,-4834.572
2024-11-15 21:14:44,3444.645,-5026.911
2024-11-15 21:14:43,3497.702,-5086.194
2024-11-15 21:14:42,3519.342,-5164.841
2024-11-15 21:14:41,3615.278,-5258.141
2024-11-15 21:14:40,3561.658,-5223.506
2024-11-15 21:14:39,3487.094,-5120.24
2024-11-15 21:14:38,3483.471,-5074.9
2024-11-15 21:14:37,3463.229,-5115.349
2024-11-15 21:14:36,3477.573,-5114.989
2024-11-15 21:14:35,3626.232,-5320.721
2024-11-15 21:14:34,3791.887,-5608.176
2024-11-15 21:14:33,3780.115,-5620.698
2024-11-15 21:14:32,3853.494,-5673.722
2024-11-15 21:14:31,3945.835,-5710.164
2024-11-15 21:14:30,3860.564,-5625.298
2024-11-15 21:14:29,3802.74,-5679.429
2024-11-15 21:14:28,3993.752,-5909.051
2024-11-15 21:14:27,4088.253,-6019.559
2024-11-15 21:14:26,4076.674,-6060.062
2024-11-15 21:14:25,4080.59,-6099.132
2024-11-15 21:14:24,4072.443,-6069.985
2024-11-15 21:14:23,4144.712,-6123.905
2024-11-15 21:14:22,4273.56,-6287.965
2024-11-15 21:14:21,4311.012,-6442.84
2024-11-15 21:14:20,4389.252,-6535.265
2024-11-15 21:14:19,4352.459,-6536.803
2024-11-15 21:14:18,4449.331,-6566.133
2024-11-15 21:14:17,4507.778,-6700
2024-11-15 21:14:16,4648.188,-6957.515
2024-11-15 21:14:15,4714.67,-7029.136
2024-11-15 21:14:14,4704.61,-7039.446
2024-11-15 21:14:13,4743.067,-7026.707
2024-11-15 21:14:12,4566.836,-6916.095
2024-11-15 21:14:11,4658.409,-7083.305
2024-11-15 21:14:10,4875.01,-7378.611
2024-11-15 21:14:09,4902.585,-7337.43
2024-11-15 21:14:08,4867.061,-7297.646
2024-11-15 21:14:07,4922.443,-7391.41
2024-11-15 21:14:06,4943.19,-7377.345
2024-11-15 21:14:05,4898.097,-7336.559
2024-11-15 21:14:04,5027.194,-7575.129
2024-11-15 21:14:03,5055.765,-7691.588
2024-11-15 21:14:02,5101.26,-7752.734
2024-11-15 21:14:01,5169.196,-7821.331
2024-11-15 21:14:00,5098.694,-7749.275
2024-11-15 21:13:59,5058.386,-7750.455
2024-11-15 21:13:58,5191.279,-7915.022
2024-11-15 21:13:57,5243.818,-7888.771
2024-11-15 21:13:56,5273.688,-7853.309
2024-11-15 21:13:55,5293.439,-7905.271
2024-11-15 21:13:54,5092.293,-7764.239
2024-11-15 21:13:53,5136.094,-7790.713
2024-11-15 21:13:52,5261.2,-7877.359
2024-11-15 21:13:51,5106.766,-7771.926
2024-11-15 21:13:50,5129.116,-7902.505
2024-11-15 21:13:49,5324.061,-8204.292
2024-11-15 21:13:48,5395.95,-8275.751
2024-11-15 21:13:47,5633.629,-8621.682
2024-11-15 21:13:46,5928.679,-9006.475
2024-11-15 21:13:45,5945.037,-9018.834
2024-11-15 21:13:44,5983.207,-9129.708
2024-11-15 21:13:43,6066.099,-9203.653
2024-11-15 21:13:42,6147.266,-9275.954
2024-11-15 21:13:41,6162.426,-9473.111
2024-11-15 21:13:40,6363.157,-9729.505
2024-11-15 21:13:39,6405.962,-9748.734
2024-11-15 21:13:38,6267.533,-9612.48
2024-11-15 21:13:37,6215.633,-9506.957
2024-11-15 21:13:36,6351.643,-9640.698
2024-11-15 21:13:35,6360.964,-9706.152
2024-11-15 21:13:34,6301.14,-9581.225
2024-11-15 21:13:33,6407.281,-9592.385
2024-11-15 21:13:32,6375.245,-9594.689
2024-11-15 21:13:31,6131.534,-9464.95
2024-11-15 21:13:30,6216.259,-9538.043
2024-11-15 21:13:29,6213.483,-9497.48
2024-11-15 21:13:28,6242.595,-9558.898
2024-11-15 21:13:27,6294.11,-9723.538
2024-11-15 21:13:26,6477.406,-9932.833
2024-11-15 21:13:25,6592.91,-10027.677
2024-11-15 21:13:24,6598.424,-10051.524
2024-11-15 21:13:23,6666.28,-10129.456
2024-11-15 21:13:22,6616.141,-10047.709
2024-11-15 21:13:21,6701.578,-10223.511
2024-11-15 21:13:20,6705.366,-10385.673
2024-11-15 21:13:19,6728.959,-10452.337
2024-11-15 21:13:18,6815.636,-10479.792
2024-11-15 21:13:17,6788.85,-10452.687
2024-11-15 21:13:16,6761.196,-10469.256
2024-11-15 21:13:15,6816.537,-10485.04
2024-11-15 21:13:14,6769.337,-10460.596
2024-11-15 21:13:13,6830.371,-10494.173
2024-11-15 21:13:12,7076.414,-10672.96
2024-11-15 21:13:11,7284.687,-11038.996
2024-11-15 21:13:10,7385.778,-11369.207
2024-11-15 21:13:09,7374.767,-11373.651
2024-11-15 21:13:08,7357.337,-11340.245
2024-11-15 21:13:07,7286.996,-11355.581
2024-11-15 21:13:06,7406.362,-11374.667
2024-11-15 21:13:05,7704.943,-11390.754
2024-11-15 21:13:04,7647.475,-11376.292
2024-11-15 21:13:03,7331.32,-11209.22
2024-11-15 21:13:02,7287.21,-11250.209
2024-11-15 21:13:01,7422.271,-11413.208
2024-11-15 21:13:00,7535.264,-11574.407
2024-11-15 21:12:59,7678.042,-11747.098
2024-11-15 21:12:58,7542.614,-11751.375
2024-11-15 21:12:57,7414.796,-11713.326
2024-11-15 21:12:56,7690.381,-11986.78
2024-11-15 21:12:55,7889.829,-12197.411
2024-11-15 21:12:54,7797.732,-12099.467
2024-11-15 21:12:53,7766.517,-11993.174
2024-11-15 21:12:52,7884.313,-12145.586
