time,some 10,some 60,some 300
2024-11-15 21:18:42,0.007289,0.4518671,1.454578
2024-11-15 21:18:40,0.01,0.46,1.46
2024-11-15 21:18:38,0.01,0.48,1.47
2024-11-15 21:18:36,0.02,0.5,1.48
2024-11-15 21:18:34,0.02,0.51,1.49
2024-11-15 21:18:32,0.0345784,0.5391569,1.5045784
2024-11-15 21:18:30,0.04,0.55,1.51
2024-11-15 21:18:28,0.05,0.56,1.52
2024-11-15 21:18:26,0.06,0.59,1.53
2024-11-15 21:18:24,0.07,0.61,1.54
2024-11-15 21:18:22,0.0991566,0.6391566,1.5545783
2024-11-15 21:18:20,0.11,0.65,1.56
2024-11-15 21:18:18,0.14,0.67,1.57
2024-11-15 21:18:16,0.17,0.7,1.59
2024-11-15 21:18:14,0.2356012,0.7291561,1.604578
2024-11-15 21:18:12,0.26,0.74,1.61
2024-11-15 21:18:10,0.31,0.77,1.62
2024-11-15 21:18:08,0.39,0.8,1.63
2024-11-15 21:18:06,0.47,0.82,1.64
2024-11-15 21:18:04,0.6449357,0.8637339,1.661867
2024-11-15 21:18:02,0.71,0.88,1.67
2024-11-15 21:18:00,0.64,0.88,1.67
2024-11-15 21:17:58,0.79,0.91,1.68
2024-11-15 21:17:56,1.0742722,0.9537342,1.701867
2024-11-15 21:17:54,1.18,0.97,1.71
2024-11-15 21:17:52,1.44,1,1.72
2024-11-15 21:17:50,1.1,0.94,1.71
2024-11-15 21:17:48,1.12,0.93,1.71
2024-11-15 21:17:46,1.13,0.93,1.72
2024-11-15 21:17:44,1.1956051,0.93,1.727289
2024-11-15 21:17:42,1.22,0.93,1.73
2024-11-15 21:17:40,1.27,0.92,1.74
2024-11-15 21:17:38,1.33,0.92,1.74
2024-11-15 21:17:36,1.41,0.92,1.75
2024-11-15 21:17:34,1.5557827,0.9127109,1.757289
2024-11-15 21:17:32,1.61,0.91,1.76
2024-11-15 21:17:30,1.74,0.91,1.76
2024-11-15 21:17:28,1.91,0.91,1.77
2024-11-15 21:17:26,1.89,0.87,1.77
2024-11-15 21:17:24,2.09,0.87,1.77
2024-11-15 21:17:22,2.315964,0.8335542,1.77
2024-11-15 21:17:20,2.4,0.82,1.77
2024-11-15 21:17:18,2.27,0.75,1.77
2024-11-15 21:17:16,1.89,0.64,1.75
2024-11-15 21:17:14,0.32,0.36,1.7
2024-11-15 21:17:12,0.4293367,0.3745782,1.714578
2024-11-15 21:17:10,0.47,0.38,1.72
2024-11-15 21:17:08,0.36,0.36,1.73
2024-11-15 21:17:06,0.44,0.37,1.74
2024-11-15 21:17:04,0.54,0.39,1.75
2024-11-15 21:17:02,0.54,0.3827107,1.764579
2024-11-15 21:17:00,0.54,0.38,1.77
2024-11-15 21:16:58,0.66,0.39,1.78
