time,minor,major
2024-11-15 21:18:43,237.2859,0
2024-11-15 21:18:42,303.6282,0
2024-11-15 21:18:41,389.5618,0
2024-11-15 21:18:40,461.286,0
2024-11-15 21:18:39,428.5997,0
2024-11-15 21:18:38,222.6276,0
2024-11-15 21:18:37,235.3397,0
2024-11-15 21:18:36,280.8605,0
2024-11-15 21:18:35,279.8194,0
2024-11-15 21:18:34,223.2052,0
2024-11-15 21:18:33,294.5463,0
2024-11-15 21:18:32,329.445,0
2024-11-15 21:18:31,230.4199,0
2024-11-15 21:18:30,232.6065,0
2024-11-15 21:18:29,237.417,0
2024-11-15 21:18:28,237.356,0
2024-11-15 21:18:27,232.0249,0
2024-11-15 21:18:26,263.5412,0
2024-11-15 21:18:25,278.4352,0
2024-11-15 21:18:24,234.419,-0.4040322
2024-11-15 21:18:23,235.9795,-0.5959678
2024-11-15 21:18:22,232.199,0
2024-11-15 21:18:21,231.8244,0
2024-11-15 21:18:20,232.5847,0
2024-11-15 21:18:19,233.2148,0
2024-11-15 21:18:18,234.986,0
2024-11-15 21:18:17,1451.2626,0
2024-11-15 21:18:16,2059.472,0
2024-11-15 21:18:15,279.4585,0
2024-11-15 21:18:14,235.4171,-0.4040106
2024-11-15 21:18:13,241.0461,-0.5959894
2024-11-15 21:18:12,746.4082,0
2024-11-15 21:18:11,982.9549,0
2024-11-15 21:18:10,309.0937,0
2024-11-15 21:18:09,351.2044,0
2024-11-15 21:18:08,275.1296,0
2024-11-15 21:18:07,305.5519,0
2024-11-15 21:18:06,479.1275,0
2024-11-15 21:18:05,534.2403,0
2024-11-15 21:18:04,278.0112,-0.4040514
2024-11-15 21:18:03,265.0826,-0.5959486
2024-11-15 21:18:02,250.427,0
2024-11-15 21:18:01,247.6868,0
2024-11-15 21:18:00,234.4074,0
2024-11-15 21:17:59,235.4327,0
2024-11-15 21:17:58,236.4126,0
2024-11-15 21:17:57,236.184,0
2024-11-15 21:17:56,268.5626,0
2024-11-15 21:17:55,283.627,0
2024-11-15 21:17:54,233.4031,-0.4040687
2024-11-15 21:17:53,245.2938,-0.5959313
2024-11-15 21:17:52,283.0238,0
2024-11-15 21:17:51,315.2041,0
2024-11-15 21:17:50,339.6017,0
2024-11-15 21:17:49,347.9619,0
2024-11-15 21:17:48,308.5993,0
2024-11-15 21:17:47,389.5058,0
2024-11-15 21:17:46,523.2399,0
2024-11-15 21:17:45,447.2617,0
2024-11-15 21:17:44,331.1967,-0.4040589
2024-11-15 21:17:43,342.4962,-0.5959411
2024-11-15 21:17:42,318.7159,0
2024-11-15 21:17:41,3417.164,0
2024-11-15 21:17:40,5108.473,0
2024-11-15 21:17:39,748.3068,0
2024-11-15 21:17:38,605.9421,0
2024-11-15 21:17:37,632.3001,0
2024-11-15 21:17:36,688.4407,0
2024-11-15 21:17:35,676.5203,0
2024-11-15 21:17:34,592.8298,-0.404098
2024-11-15 21:17:33,664.0846,-0.595902
2024-11-15 21:17:32,697.8535,0
2024-11-15 21:17:31,592.6463,0
2024-11-15 21:17:30,591.5657,0
2024-11-15 21:17:29,594.26,0
2024-11-15 21:17:28,598.5841,0
2024-11-15 21:17:27,600.8393,0
2024-11-15 21:17:26,626.4576,0
2024-11-15 21:17:25,629.5739,0
2024-11-15 21:17:24,588.0891,-0.4040548
2024-11-15 21:17:23,586.0585,-0.5959452
2024-11-15 21:17:22,582.5946,0
2024-11-15 21:17:21,656.3692,0
2024-11-15 21:17:20,687.614,0
2024-11-15 21:17:19,570.7046,0
2024-11-15 21:17:18,567.8105,0
2024-11-15 21:17:17,565.9928,0
2024-11-15 21:17:16,597.9301,0
2024-11-15 21:17:15,614.3187,0
2024-11-15 21:17:14,1086.9777,-0.4040815
2024-11-15 21:17:13,1338.236,-0.5959185
2024-11-15 21:17:12,578.3596,0
2024-11-15 21:17:11,570.5374,0
2024-11-15 21:17:10,633.3264,0
2024-11-15 21:17:09,665.9374,0
2024-11-15 21:17:08,569.2122,0
2024-11-15 21:17:07,583.406,0
2024-11-15 21:17:06,631.7377,0
2024-11-15 21:17:05,629.9386,0
2024-11-15 21:17:04,637.2314,-0.4039151
2024-11-15 21:17:03,672.8524,-0.5960849
2024-11-15 21:17:02,825.1781,0
2024-11-15 21:17:01,1016.4215,0
2024-11-15 21:17:00,752.1935,0
2024-11-15 21:16:59,708.4703,0
2024-11-15 21:16:58,521.9865,0
2024-11-15 21:16:57,291.5591,0
2024-11-15 21:16:56,391.9585,0
