time,load1,load5,load15
2024-11-15 21:18:40,0.3770181,0.489006,0.569006
2024-11-15 21:18:35,0.38,0.49,0.57
2024-11-15 21:18:30,0.41,0.5,0.57
2024-11-15 21:18:25,0.45,0.51,0.57
2024-11-15 21:18:20,0.4,0.5,0.57
2024-11-15 21:18:15,0.43,0.51,0.57
2024-11-15 21:18:10,0.51,0.52,0.58
2024-11-15 21:18:05,0.56,0.53,0.58
2024-11-15 21:18:00,0.5960239,0.539006,0.589006
2024-11-15 21:17:55,0.6,0.54,0.59
2024-11-15 21:17:50,0.66,0.55,0.59
2024-11-15 21:17:45,0.71,0.56,0.59
2024-11-15 21:17:40,0.78,0.57,0.6
2024-11-15 21:17:35,0.64,0.54,0.59
2024-11-15 21:17:30,0.61,0.53,0.58
2024-11-15 21:17:25,0.2675912,0.4579139,0.5619785
2024-11-15 21:17:20,0.23,0.45,0.56
2024-11-15 21:17:15,0.25,0.46,0.56
2024-11-15 21:17:10,0.27,0.47,0.57
2024-11-15 21:17:05,0.29,0.48,0.57
2024-11-15 21:17:00,0.32,0.49,0.57
2024-11-15 21:16:55,0.17,0.46,0.57
2024-11-15 21:16:50,0.19,0.47,0.57
2024-11-15 21:16:45,0.2,0.48,0.57
2024-11-15 21:16:40,0.24,0.49,0.58
2024-11-15 21:16:35,0.26,0.5,0.58
2024-11-15 21:16:30,0.2870181,0.509006,0.589006
2024-11-15 21:16:25,0.29,0.51,0.59
2024-11-15 21:16:20,0.14,0.49,0.58
2024-11-15 21:16:15,0.15,0.49,0.58
2024-11-15 21:16:10,0.18,0.51,0.59
2024-11-15 21:16:05,0.19,0.52,0.59
2024-11-15 21:16:00,0.2080121,0.5290061,0.5990061
2024-11-15 21:15:55,0.21,0.53,0.6
2024-11-15 21:15:50,0.23,0.54,0.6
2024-11-15 21:15:45,0.25,0.55,0.6
2024-11-15 21:15:40,0.27,0.56,0.61
2024-11-15 21:15:35,0.29,0.57,0.61
2024-11-15 21:15:30,0.32,0.58,0.61
2024-11-15 21:15:25,0.35,0.59,0.62
2024-11-15 21:15:20,0.38,0.6,0.62
2024-11-15 21:15:15,0.45,0.62,0.63
2024-11-15 21:15:10,0.48,0.63,0.63
2024-11-15 21:15:05,0.53,0.64,0.63
2024-11-15 21:15:00,0.57,0.65,0.64
2024-11-15 21:14:55,0.62,0.66,0.64
2024-11-15 21:14:50,0.5119282,0.641988,0.630994
2024-11-15 21:14:45,0.5,0.64,0.63
2024-11-15 21:14:40,0.55,0.65,0.64
2024-11-15 21:14:35,0.59,0.66,0.64
2024-11-15 21:14:30,0.65,0.67,0.65
2024-11-15 21:14:25,0.53,0.65,0.64
2024-11-15 21:14:20,0.63,0.67,0.65
2024-11-15 21:14:15,0.59,0.67,0.64
2024-11-15 21:14:10,0.64,0.68,0.65
2024-11-15 21:14:05,0.7,0.69,0.65
2024-11-15 21:14:00,0.672982,0.680994,0.65
2024-11-15 21:13:55,0.67,0.68,0.65
2024-11-15 21:13:50,0.73,0.7,0.65
2024-11-15 21:13:45,0.8,0.71,0.66
2024-11-15 21:13:40,0.78,0.7,0.66
2024-11-15 21:13:35,0.85,0.71,0.66
2024-11-15 21:13:30,0.92,0.73,0.66
2024-11-15 21:13:25,1,0.73,0.67
2024-11-15 21:13:20,0.83,0.7,0.65
2024-11-15 21:13:15,0.9,0.71,0.66
2024-11-15 21:13:10,0.890994,0.700994,0.650994
2024-11-15 21:13:05,0.89,0.7,0.65
2024-11-15 21:13:00,0.79,0.68,0.65
2024-11-15 21:12:55,0.86,0.69,0.65
2024-11-15 21:12:50,0.94,0.7,0.66
