time,received,sent,multicast
2024-11-15 21:18:43,4.377715,0,0
2024-11-15 21:18:42,5.378043,0,0
2024-11-15 21:18:41,4.48786,-0.3781216,0
2024-11-15 21:18:40,1.6220205,-0.6218784,0
2024-11-15 21:18:39,2.134664,0,0
2024-11-15 21:18:38,4.755637,0,0
2024-11-15 21:18:37,5.244209,-0.7563865,0
2024-11-15 21:18:36,3.243773,-1.6218864,0
2024-11-15 21:18:35,2.377737,-0.6217271,0
2024-11-15 21:18:34,2.243813,0,0
2024-11-15 21:18:33,1.0000272,-0.3781226,0
2024-11-15 21:18:32,1.000039,-0.6218774,0
2024-11-15 21:18:31,1.3781021,-0.7562637,0
2024-11-15 21:18:30,1.6218976,-1.6218976,0
2024-11-15 21:18:29,1.0000741,-0.6218387,0
2024-11-15 21:18:28,0.6217647,0,0
2024-11-15 21:18:27,0,0,0
2024-11-15 21:18:26,0.7564229,-1.1346344,0
2024-11-15 21:18:25,1.2435771,-1.865366,0
2024-11-15 21:18:24,0,0,0
2024-11-15 21:18:23,0,0,0
2024-11-15 21:18:22,0,0,0
2024-11-15 21:18:21,0,0,0
2024-11-15 21:18:20,0,0,0
2024-11-15 21:18:19,0,0,0
2024-11-15 21:18:18,0,0,0
2024-11-15 21:18:17,0,0,0
2024-11-15 21:18:16,0,0,0
2024-11-15 21:18:15,0,-0.3782312,0
2024-11-15 21:18:14,0,-0.6217688,0
2024-11-15 21:18:13,0,0,0
2024-11-15 21:18:12,0,0,0
2024-11-15 21:18:11,0,0,0
2024-11-15 21:18:10,0.3782886,-0.3782886,0
2024-11-15 21:18:09,0.6217114,-0.6217114,0
2024-11-15 21:18:08,0,0,0
2024-11-15 21:18:07,0,-0.3781355,0
2024-11-15 21:18:06,0,-0.6218645,0
2024-11-15 21:18:05,0.7565502,-0.3782751,0
2024-11-15 21:18:04,1.2434498,-0.6217249,0
2024-11-15 21:18:03,0.3782214,-0.3782214,0
2024-11-15 21:18:02,5.541072,-1.0001857,0
2024-11-15 21:18:01,15.268891,-0.9999183,0
2024-11-15 21:18:00,11.811816,-0.999895,0
2024-11-15 21:17:59,0,-1.0000714,0
2024-11-15 21:17:58,0,-0.6217081,0
2024-11-15 21:17:57,0,0,0
2024-11-15 21:17:56,0,0,0
2024-11-15 21:17:55,0,0,0
2024-11-15 21:17:54,0,0,0
2024-11-15 21:17:53,0,0,0
2024-11-15 21:17:52,0,0,0
2024-11-15 21:17:51,0,0,0
2024-11-15 21:17:50,0,0,0
2024-11-15 21:17:49,0,0,0
2024-11-15 21:17:48,0,0,0
2024-11-15 21:17:47,0,0,0
2024-11-15 21:17:46,0,0,0
2024-11-15 21:17:45,0,-0.3782921,0
2024-11-15 21:17:44,0,-0.6217079,0
2024-11-15 21:17:43,0,0,0
2024-11-15 21:17:42,0,0,0
2024-11-15 21:17:41,0.3782565,-0.3782565,0
2024-11-15 21:17:40,0.6217435,-0.6217435,0
2024-11-15 21:17:39,0,0,0
2024-11-15 21:17:38,0,0,0
2024-11-15 21:17:37,0.3783354,-0.7566707,0
2024-11-15 21:17:36,0.6216646,-1.2433293,0
2024-11-15 21:17:35,0,0,0
2024-11-15 21:17:34,0,0,0
2024-11-15 21:17:33,0,0,0
2024-11-15 21:17:32,0,-0.3783026,0
2024-11-15 21:17:31,0,-0.6216974,0
2024-11-15 21:17:30,0,-0.3783024,0
2024-11-15 21:17:29,0,-1.0001653,0
2024-11-15 21:17:28,0,-0.6215323,0
2024-11-15 21:17:27,0,0,0
2024-11-15 21:17:26,0.7563705,-1.1345557,0
2024-11-15 21:17:25,1.6219144,-2.243729,0
2024-11-15 21:17:24,0.6217151,-0.6217151,0
2024-11-15 21:17:23,0,0,0
2024-11-15 21:17:22,0.3783979,-0.3783979,0
2024-11-15 21:17:21,0.6216021,-0.6216021,0
2024-11-15 21:17:20,0.3782386,-0.3782386,0
2024-11-15 21:17:19,0.6217614,-0.6217614,0
2024-11-15 21:17:18,0,0,0
2024-11-15 21:17:17,0,0,0
2024-11-15 21:17:16,0,0,0
2024-11-15 21:17:15,0,-0.3781125,0
2024-11-15 21:17:14,0.378103,-0.6218875,0
2024-11-15 21:17:13,1.0000964,0,0
2024-11-15 21:17:12,1.0002371,0,0
2024-11-15 21:17:11,1.3784988,0,0
2024-11-15 21:17:10,3.513764,0,0
2024-11-15 21:17:09,5.621717,0,0
2024-11-15 21:17:08,4.24303,0,0
